geo_id,geography,Owner:renter occupancy,Owner occupied,Renter occupied
1400000US12095013513,Census Tract 135.13; Orange County; Florida,2034,722,1312
1400000US12095013603,Census Tract 136.03; Orange County; Florida,1999,1264,735
1400000US12095013604,Census Tract 136.04; Orange County; Florida,2957,1434,1523
1400000US12095013605,Census Tract 136.05; Orange County; Florida,1521,691,830
1400000US12095013606,Census Tract 136.06; Orange County; Florida,1460,712,748
1400000US12095013607,Census Tract 136.07; Orange County; Florida,2029,1642,387
1400000US12095013701,Census Tract 137.01; Orange County; Florida,2141,556,1585
1400000US12095013702,Census Tract 137.02; Orange County; Florida,2233,944,1289
1400000US12095013801,Census Tract 138.01; Orange County; Florida,1016,725,291
1400000US12095013802,Census Tract 138.02; Orange County; Florida,1054,958,96
1400000US12095013803,Census Tract 138.03; Orange County; Florida,1155,713,442
1400000US12095013900,Census Tract 139; Orange County; Florida,2086,1370,716
1400000US12095014000,Census Tract 140; Orange County; Florida,2710,2367,343
1400000US12095014100,Census Tract 141; Orange County; Florida,2553,2192,361
1400000US12095014201,Census Tract 142.01; Orange County; Florida,1960,1223,737
1400000US12095014202,Census Tract 142.02; Orange County; Florida,1608,670,938
1400000US12095014301,Census Tract 143.01; Orange County; Florida,1587,1114,473
1400000US12095014302,Census Tract 143.02; Orange County; Florida,1524,586,938
1400000US12095014400,Census Tract 144; Orange County; Florida,1222,993,229
1400000US12095014502,Census Tract 145.02; Orange County; Florida,2063,385,1678
1400000US12095014503,Census Tract 145.03; Orange County; Florida,1744,705,1039
1400000US12095014504,Census Tract 145.04; Orange County; Florida,2862,344,2518
1400000US12095014601,Census Tract 146.01; Orange County; Florida,2527,825,1702
1400000US12095014605,Census Tract 146.05; Orange County; Florida,1201,845,356
1400000US12095014606,Census Tract 146.06; Orange County; Florida,3296,405,2891
1400000US12095014607,Census Tract 146.07; Orange County; Florida,2823,915,1908
1400000US12095014608,Census Tract 146.08; Orange County; Florida,1719,730,989
1400000US12095014609,Census Tract 146.09; Orange County; Florida,1933,337,1596
1400000US12095014701,Census Tract 147.01; Orange County; Florida,1922,1036,886
1400000US12095014702,Census Tract 147.02; Orange County; Florida,2467,942,1525
1400000US12095014703,Census Tract 147.03; Orange County; Florida,916,209,707
1400000US12095014705,Census Tract 147.05; Orange County; Florida,3316,973,2343
1400000US12095014706,Census Tract 147.06; Orange County; Florida,2600,70,2530
1400000US12095014804,Census Tract 148.04; Orange County; Florida,2109,880,1229
1400000US12095014805,Census Tract 148.05; Orange County; Florida,2135,881,1254
1400000US12095014806,Census Tract 148.06; Orange County; Florida,1748,1320,428
1400000US12095014807,Census Tract 148.07; Orange County; Florida,2867,1866,1001
1400000US12095014809,Census Tract 148.09; Orange County; Florida,1261,1202,59
1400000US12095014810,Census Tract 148.10; Orange County; Florida,2027,1536,491
1400000US12095014811,Census Tract 148.11; Orange County; Florida,1933,1843,90
1400000US12095014812,Census Tract 148.12; Orange County; Florida,2477,839,1638
1400000US12095014813,Census Tract 148.13; Orange County; Florida,2025,1087,938
1400000US12095014814,Census Tract 148.14; Orange County; Florida,2079,1460,619
1400000US12095014815,Census Tract 148.15; Orange County; Florida,1705,1650,55
1400000US12095014904,Census Tract 149.04; Orange County; Florida,2466,303,2163
1400000US12095014906,Census Tract 149.06; Orange County; Florida,2368,1786,582
1400000US12095014908,Census Tract 149.08; Orange County; Florida,2197,1654,543
1400000US12095014909,Census Tract 149.09; Orange County; Florida,995,899,96
1400000US12095015001,Census Tract 150.01; Orange County; Florida,446,280,166
1400000US12095015002,Census Tract 150.02; Orange County; Florida,2060,1758,302
1400000US12095015003,Census Tract 150.03; Orange County; Florida,2063,1370,693
1400000US12095015005,Census Tract 150.05; Orange County; Florida,1153,1014,139
1400000US12095015006,Census Tract 150.06; Orange County; Florida,1575,1325,250
1400000US12095015103,Census Tract 151.03; Orange County; Florida,2700,1774,926
1400000US12095015104,Census Tract 151.04; Orange County; Florida,1957,1333,624
1400000US12095015105,Census Tract 151.05; Orange County; Florida,1331,1000,331
1400000US12095015106,Census Tract 151.06; Orange County; Florida,2348,1715,633
1400000US12095015202,Census Tract 152.02; Orange County; Florida,2357,865,1492
1400000US12095015203,Census Tract 152.03; Orange County; Florida,1526,165,1361
1400000US12095015204,Census Tract 152.04; Orange County; Florida,2630,897,1733
1400000US12095015300,Census Tract 153; Orange County; Florida,1584,1180,404
1400000US12095015501,Census Tract 155.01; Orange County; Florida,2970,1325,1645
1400000US12095015601,Census Tract 156.01; Orange County; Florida,1059,741,318
1400000US12095015602,Census Tract 156.02; Orange County; Florida,714,685,29
1400000US12095015701,Census Tract 157.01; Orange County; Florida,1006,690,316
1400000US12095015702,Census Tract 157.02; Orange County; Florida,605,506,99
1400000US12095015801,Census Tract 158.01; Orange County; Florida,665,642,23
1400000US12095015802,Census Tract 158.02; Orange County; Florida,1004,965,39
1400000US12095015901,Census Tract 159.01; Orange County; Florida,1345,465,880
1400000US12095016001,Census Tract 160.01; Orange County; Florida,641,471,170
1400000US12095016002,Census Tract 160.02; Orange County; Florida,994,968,26
1400000US12095016100,Census Tract 161; Orange County; Florida,2086,1551,535
1400000US12095016200,Census Tract 162; Orange County; Florida,2997,1815,1182
1400000US12095016301,Census Tract 163.01; Orange County; Florida,2540,993,1547
1400000US12095016302,Census Tract 163.02; Orange County; Florida,1761,372,1389
1400000US12095016402,Census Tract 164.02; Orange County; Florida,1021,309,712
1400000US12095016406,Census Tract 164.06; Orange County; Florida,882,182,700
1400000US12095016407,Census Tract 164.07; Orange County; Florida,3030,696,2334
1400000US12095016408,Census Tract 164.08; Orange County; Florida,933,444,489
1400000US12095016409,Census Tract 164.09; Orange County; Florida,1151,1086,65
1400000US12095016411,Census Tract 164.11; Orange County; Florida,1424,549,875
1400000US12095016412,Census Tract 164.12; Orange County; Florida,1765,1237,528
1400000US12095016413,Census Tract 164.13; Orange County; Florida,1663,1029,634
1400000US12095016414,Census Tract 164.14; Orange County; Florida,1542,673,869
1400000US12095016503,Census Tract 165.03; Orange County; Florida,2163,1100,1063
1400000US12095016504,Census Tract 165.04; Orange County; Florida,1918,966,952
1400000US12095016505,Census Tract 165.05; Orange County; Florida,1089,513,576
1400000US12095016509,Census Tract 165.09; Orange County; Florida,2302,1684,618
1400000US12095016510,Census Tract 165.10; Orange County; Florida,1344,49,1295
1400000US12095016511,Census Tract 165.11; Orange County; Florida,1410,532,878
1400000US12095016512,Census Tract 165.12; Orange County; Florida,1921,134,1787
1400000US12095016513,Census Tract 165.13; Orange County; Florida,1880,1277,603
1400000US12095016514,Census Tract 165.14; Orange County; Florida,2383,1620,763
1400000US12095016515,Census Tract 165.15; Orange County; Florida,0,0,0
1400000US12095016603,Census Tract 166.03; Orange County; Florida,2369,2168,201
1400000US12095016604,Census Tract 166.04; Orange County; Florida,1804,1522,282
1400000US12095016605,Census Tract 166.05; Orange County; Florida,539,334,205
1400000US12095016606,Census Tract 166.06; Orange County; Florida,940,895,45
1400000US12095016607,Census Tract 166.07; Orange County; Florida,2295,1818,477
1400000US12095016709,Census Tract 167.09; Orange County; Florida,2318,1834,484
1400000US12095016710,Census Tract 167.10; Orange County; Florida,1516,1361,155
1400000US12095016713,Census Tract 167.13; Orange County; Florida,3045,2042,1003
1400000US12095016714,Census Tract 167.14; Orange County; Florida,991,795,196
1400000US12095016715,Census Tract 167.15; Orange County; Florida,2093,1303,790
1400000US12095016716,Census Tract 167.16; Orange County; Florida,1938,1625,313
1400000US12095016717,Census Tract 167.17; Orange County; Florida,1293,1110,183
1400000US12095016723,Census Tract 167.23; Orange County; Florida,1621,1321,300
1400000US12095016724,Census Tract 167.24; Orange County; Florida,2296,727,1569
1400000US12095016728,Census Tract 167.28; Orange County; Florida,1920,1644,276
1400000US12095016731,Census Tract 167.31; Orange County; Florida,1988,753,1235
1400000US12095016733,Census Tract 167.33; Orange County; Florida,2170,1716,454
1400000US12095016735,Census Tract 167.35; Orange County; Florida,4347,2706,1641
1400000US12095016736,Census Tract 167.36; Orange County; Florida,4976,3283,1693
1400000US12095016737,Census Tract 167.37; Orange County; Florida,4057,3052,1005
1400000US12095016738,Census Tract 167.38; Orange County; Florida,1756,659,1097
1400000US12095016739,Census Tract 167.39; Orange County; Florida,2118,641,1477
1400000US12095016740,Census Tract 167.40; Orange County; Florida,1325,781,544
1400000US12095016741,Census Tract 167.41; Orange County; Florida,1699,268,1431
1400000US12095016742,Census Tract 167.42; Orange County; Florida,2084,373,1711
1400000US12095016743,Census Tract 167.43; Orange County; Florida,2373,1484,889
1400000US12095016744,Census Tract 167.44; Orange County; Florida,1782,782,1000
1400000US12095016745,Census Tract 167.45; Orange County; Florida,1312,1130,182
1400000US12095016746,Census Tract 167.46; Orange County; Florida,1475,1356,119
1400000US12095016747,Census Tract 167.47; Orange County; Florida,1893,1638,255
1400000US12095016748,Census Tract 167.48; Orange County; Florida,2265,1783,482
1400000US12095016749,Census Tract 167.49; Orange County; Florida,2113,1269,844
1400000US12095016750,Census Tract 167.50; Orange County; Florida,4220,3363,857
1400000US12095016751,Census Tract 167.51; Orange County; Florida,2173,1953,220
1400000US12095016752,Census Tract 167.52; Orange County; Florida,1339,1239,100
1400000US12095016753,Census Tract 167.53; Orange County; Florida,2654,1490,1164
1400000US12095016754,Census Tract 167.54; Orange County; Florida,1534,904,630
1400000US12095016755,Census Tract 167.55; Orange County; Florida,2267,1443,824
1400000US12095016756,Census Tract 167.56; Orange County; Florida,972,842,130
1400000US12095016802,Census Tract 168.02; Orange County; Florida,7298,4740,2558
1400000US12095016803,Census Tract 168.03; Orange County; Florida,835,734,101
1400000US12095016804,Census Tract 168.04; Orange County; Florida,2460,1927,533
1400000US12095016808,Census Tract 168.08; Orange County; Florida,528,521,7
1400000US12095016809,Census Tract 168.09; Orange County; Florida,2515,1377,1138
1400000US12095016810,Census Tract 168.10; Orange County; Florida,3080,2414,666
1400000US12095016811,Census Tract 168.11; Orange County; Florida,3734,3136,598
1400000US12095016812,Census Tract 168.12; Orange County; Florida,2223,1825,398
1400000US12095016813,Census Tract 168.13; Orange County; Florida,927,406,521
1400000US12095016814,Census Tract 168.14; Orange County; Florida,1621,1161,460
1400000US12095016902,Census Tract 169.02; Orange County; Florida,1847,843,1004
1400000US12095016904,Census Tract 169.04; Orange County; Florida,1197,621,576
1400000US12095016906,Census Tract 169.06; Orange County; Florida,1662,107,1555
1400000US12095016907,Census Tract 169.07; Orange County; Florida,2535,208,2327
1400000US12095016908,Census Tract 169.08; Orange County; Florida,941,394,547
1400000US12095016909,Census Tract 169.09; Orange County; Florida,1692,372,1320
1400000US12095016910,Census Tract 169.10; Orange County; Florida,392,346,46
1400000US12095016911,Census Tract 169.11; Orange County; Florida,3722,0,3722
1400000US12095017001,Census Tract 170.01; Orange County; Florida,2310,621,1689
1400000US12095017004,Census Tract 170.04; Orange County; Florida,2735,1418,1317
1400000US12095017006,Census Tract 170.06; Orange County; Florida,1347,593,754
1400000US12095017011,Census Tract 170.11; Orange County; Florida,1588,1132,456
1400000US12095017012,Census Tract 170.12; Orange County; Florida,944,766,178
1400000US12095017013,Census Tract 170.13; Orange County; Florida,2859,1789,1070
1400000US12095017015,Census Tract 170.15; Orange County; Florida,2565,1671,894
1400000US12095017018,Census Tract 170.18; Orange County; Florida,2284,653,1631
1400000US12095017019,Census Tract 170.19; Orange County; Florida,1523,858,665
1400000US12095017020,Census Tract 170.20; Orange County; Florida,2364,839,1525
1400000US12095017021,Census Tract 170.21; Orange County; Florida,1892,1290,602
1400000US12095017022,Census Tract 170.22; Orange County; Florida,4501,387,4114
1400000US12095017023,Census Tract 170.23; Orange County; Florida,708,191,517
1400000US12095017024,Census Tract 170.24; Orange County; Florida,1141,9,1132
1400000US12095017025,Census Tract 170.25; Orange County; Florida,1294,938,356
1400000US12095017026,Census Tract 170.26; Orange County; Florida,1552,1470,82
1400000US12095017108,Census Tract 171.08; Orange County; Florida,4063,2443,1620
1400000US12095017109,Census Tract 171.09; Orange County; Florida,2075,1789,286
1400000US12095017110,Census Tract 171.10; Orange County; Florida,2626,913,1713
1400000US12095017111,Census Tract 171.11; Orange County; Florida,8099,5444,2655
1400000US12095017112,Census Tract 171.12; Orange County; Florida,5673,3478,2195
1400000US12095017113,Census Tract 171.13; Orange County; Florida,5581,4057,1524
1400000US12095017114,Census Tract 171.14; Orange County; Florida,3391,2133,1258
1400000US12095017115,Census Tract 171.15; Orange County; Florida,1334,1325,9
1400000US12095017116,Census Tract 171.16; Orange County; Florida,2792,2275,517
1400000US12095017117,Census Tract 171.17; Orange County; Florida,2243,1699,544
1400000US12095017118,Census Tract 171.18; Orange County; Florida,1709,1086,623
1400000US12095017119,Census Tract 171.19; Orange County; Florida,759,717,42
1400000US12095017120,Census Tract 171.20; Orange County; Florida,2197,1757,440
1400000US12095017121,Census Tract 171.21; Orange County; Florida,1760,1075,685
1400000US12095017122,Census Tract 171.22; Orange County; Florida,1016,724,292
1400000US12095017123,Census Tract 171.23; Orange County; Florida,1990,1332,658
1400000US12095017200,Census Tract 172; Orange County; Florida,2262,1491,771
1400000US12095017301,Census Tract 173.01; Orange County; Florida,1175,727,448
1400000US12095017302,Census Tract 173.02; Orange County; Florida,2977,1277,1700
1400000US12095017401,Census Tract 174.01; Orange County; Florida,2609,2031,578
1400000US12095017402,Census Tract 174.02; Orange County; Florida,1739,882,857
1400000US12095017503,Census Tract 175.03; Orange County; Florida,2225,1470,755
1400000US12095017504,Census Tract 175.04; Orange County; Florida,3422,2938,484
1400000US12095017505,Census Tract 175.05; Orange County; Florida,1620,1249,371
1400000US12095017506,Census Tract 175.06; Orange County; Florida,4508,3027,1481
1400000US12095017600,Census Tract 176; Orange County; Florida,1835,826,1009
1400000US12095017701,Census Tract 177.01; Orange County; Florida,1735,1345,390
1400000US12095017702,Census Tract 177.02; Orange County; Florida,864,756,108
1400000US12095017703,Census Tract 177.03; Orange County; Florida,1567,767,800
1400000US12095017805,Census Tract 178.05; Orange County; Florida,1099,977,122
1400000US12095017806,Census Tract 178.06; Orange County; Florida,1831,1730,101
1400000US12095017807,Census Tract 178.07; Orange County; Florida,1430,974,456
1400000US12095017808,Census Tract 178.08; Orange County; Florida,1603,1423,180
1400000US12095017809,Census Tract 178.09; Orange County; Florida,1199,1089,110
1400000US12095017810,Census Tract 178.10; Orange County; Florida,2315,2039,276
1400000US12095017811,Census Tract 178.11; Orange County; Florida,1219,1130,89
1400000US12095017812,Census Tract 178.12; Orange County; Florida,2896,2348,548
1400000US12095017813,Census Tract 178.13; Orange County; Florida,702,618,84
1400000US12095017814,Census Tract 178.14; Orange County; Florida,2173,1836,337
1400000US12095017901,Census Tract 179.01; Orange County; Florida,2262,1973,289
1400000US12095017902,Census Tract 179.02; Orange County; Florida,3214,2829,385
1400000US12095018000,Census Tract 180; Orange County; Florida,1804,340,1464
1400000US12095018100,Census Tract 181; Orange County; Florida,1136,865,271
1400000US12095018201,Census Tract 182.01; Orange County; Florida,2154,855,1299
1400000US12095018202,Census Tract 182.02; Orange County; Florida,2030,653,1377
1400000US12095018203,Census Tract 182.03; Orange County; Florida,758,260,498
1400000US12095018204,Census Tract 182.04; Orange County; Florida,846,413,433
1400000US12095018300,Census Tract 183; Orange County; Florida,1190,463,727
1400000US12095018400,Census Tract 184; Orange County; Florida,1127,676,451
1400000US12095018500,Census Tract 185; Orange County; Florida,1140,457,683
1400000US12095018700,Census Tract 187; Orange County; Florida,2176,920,1256
1400000US12095018800,Census Tract 188; Orange County; Florida,3348,566,2782
1400000US12095018901,Census Tract 189.01; Orange County; Florida,1938,769,1169
1400000US12095018902,Census Tract 189.02; Orange County; Florida,3750,1107,2643
1400000US12095019000,Census Tract 190; Orange County; Florida,2633,1147,1486
1400000US12095990000,Census Tract 9900; Orange County; Florida,0,0,0
